method_id,comparison_type,domain,anchor_from_pct,anchor_to_pct,feature,channel,family,w_from,w_to,sign_consistent,cosine_sim,weight_ratio
es_svd_ms_rr_r1,cross_domain,math_vs_science,70,70,has_tok_neg_entropy,raw,availability_meta,1.6320038605342327e-19,1.1058032911840767e-20,True,0.6405906304352864,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,70,70,has_tok_selfcert,rank,availability_meta,-0.02578813587260285,0.00841551499191648,False,0.6405906304352864,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,70,70,has_tok_selfcert,raw,availability_meta,-6.859923086416676e-23,-1.0834835073615014e-22,True,0.6405906304352864,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,70,70,tok_conf_prefix,rank,confidence,0.09287544967142544,-0.041684627528893244,False,0.6405906304352864,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,70,70,tok_conf_prefix,raw,confidence,0.3275928413349273,0.06570437451458262,True,0.6405906304352864,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,70,70,tok_conf_recency,rank,confidence,0.1683114098468568,-0.04220413920073357,False,0.6405906304352864,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,70,70,tok_conf_recency,raw,confidence,0.33776147343135676,0.06803627998201112,True,0.6405906304352864,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,70,70,tok_gini_prefix,rank,uncertainty,-0.04279758205987817,-0.0022281623018452308,True,0.6405906304352864,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,70,70,tok_gini_prefix,raw,uncertainty,-3.0704007962392095,0.05689071517793554,False,0.6405906304352864,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,70,70,tok_gini_slope,rank,uncertainty,0.4545051646445995,-0.08916785639368527,False,0.6405906304352864,nan
es_svd_ms_rr_r1,cross_domain,math_vs_science,70,70,tok_gini_slope,raw,uncertainty,-6.163271758636016,0.9806643827642176,False,0.6405906304352864,nan
