method_name,metric_scope,domain_scope,anchor_pct,label_fraction_pct,latent_dim,auc_of_auroc,auc_of_selacc,earliest_gt_0_6,auroc_at_100,stop_acc_at_100,auroc,selacc_at_10,stop_acc,pretrain_best_loss,pretrain_best_epoch,notes
neural_semisup_freeze,aggregate,science,,50,24,0.616750165652413,0.8520833333333333,0.1,0.6698660546012185,0.6666666666666666,,,,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,coding,,50,24,0.5339285128017522,0.5237499999999999,0.3,0.47888730987322536,0.56,,,,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,ms,,50,24,0.765370602902,0.8961894586894587,0.1,0.8532600823917122,0.7314814814814814,,,,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,anchor,coding,70,50,24,,,,,,0.5393698633135253,0.525,0.52,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,anchor,coding,100,50,24,,,,,,0.47888730987322536,0.44375,0.56,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,math,,100,24,0.7937097996997521,0.8934065934065936,0.1,0.8997933258492864,0.7857142857142857,,,,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,science,,100,24,0.6311373202090804,0.87578125,0.1,0.6776992098045541,0.7333333333333333,,,,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,coding,,100,24,0.5236622532397182,0.458125,0.3,0.4936456344907049,0.52,,,,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,aggregate,ms,,100,24,0.7575825820351584,0.8894898504273504,0.1,0.8504390778393459,0.7740740740740741,,,,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,anchor,coding,70,100,24,,,,,,0.5218271556299725,0.41875,0.52,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
neural_semisup_freeze,anchor,coding,100,100,24,,,,,,0.4936456344907049,0.39375,0.52,73.251276031021,15,self-supervised neural bottleneck + frozen linear heads
no_svd_logreg,aggregate,math,,1,,0.75271756303063,0.9516483516483517,0.1,0.7246292733458903,0.7857142857142857,,,,,,no svd logreg
no_svd_logreg,aggregate,science,,1,,0.450069176509033,0.7036458333333333,,0.291243809322997,0.6833333333333333,,,,,,no svd logreg
no_svd_logreg,aggregate,coding,,1,,0.46622329157540426,0.29500000000000004,,0.5036481515354755,0.56,,,,,,no svd logreg
no_svd_logreg,aggregate,ms,,1,,0.6854623660258308,0.8965366809116809,0.2,0.6283213924519141,0.7629629629629631,,,,,,no svd logreg
