condition_id,domain,layer,condition_label,base_feature_count,feature_count,decoy_family,decoy_level,n_seeds,no_svd_auc_of_auroc_mean,no_svd_auc_of_auroc_std,best_svd_auc_of_auroc_mean,best_svd_auc_of_auroc_std,delta_auc_of_auroc_mean,delta_auc_of_auroc_std,no_svd_auc_of_selacc_mean,no_svd_auc_of_selacc_std,best_svd_auc_of_selacc_mean,best_svd_auc_of_selacc_std,delta_auc_of_selacc_mean,delta_auc_of_selacc_std,delta_auroc_at_100_mean,delta_auroc_at_100_std,delta_stop_acc_at_100_mean,delta_stop_acc_at_100_std,best_svd_rank_mode,best_svd_rank_hist
duplicate_med,coding,noise,L3 duplicate med,30,60,duplicate,med,3,0.5444918149143501,0.0,0.5078183162690205,6.340215354687717e-06,-0.03667349864532954,6.340215354687717e-06,0.6199999999999999,0.0,0.4791666666666667,0.00029462782549436237,-0.1408333333333332,0.00029462782549436237,-0.0799226855564884,7.694352106013906e-06,-0.040000000000000036,0.0,4,"{""4"": 3}"
duplicate_med,math,noise,L3 duplicate med,30,60,duplicate,med,3,0.9587732313951339,0.0,0.9315224598974184,1.1102230246251565e-16,-0.027250771497715598,0.0,0.9978021978021978,0.0,0.9978021978021978,0.0,0.0,0.0,-0.023170024734373795,0.0,-0.0357142857142857,0.0,24,"{""24"": 3}"
duplicate_med,science,noise,L3 duplicate med,30,60,duplicate,med,3,0.8289153379987376,0.0,0.806028036694463,1.2253290749713507e-06,-0.022887301304274743,1.2253290749713507e-06,0.9807291666666668,1.1102230246251565e-16,0.9783854166666668,0.0,-0.0023437499999998668,0.0,-0.036993707365688334,4.645412240756167e-06,-0.09999999999999998,0.0,4,"{""4"": 3}"
duplicate_high,coding,noise,L3 duplicate high,30,90,duplicate,high,3,0.5335437645296801,0.0,0.5092693430721599,8.49932875185455e-07,-0.024274421457520196,8.49932875185455e-07,0.628125,0.0,0.4781250000000001,5.551115123125783e-17,-0.15000000000000002,0.0,-0.07240907240907245,9.749398714930918e-06,0.040000000000000036,0.0,4,"{""4"": 3}"
duplicate_high,math,noise,L3 duplicate high,30,90,duplicate,high,3,0.9583674631614126,1.1102230246251565e-16,0.918939454573089,0.00047443624240892785,-0.03942800858832348,0.00047443624240892785,0.9983516483516484,0.0,0.9972527472527473,0.0,-0.001098901098901095,0.0,-0.02511076248350293,0.0004156258412686647,0.0,0.0,24,"{""24"": 3}"
duplicate_high,science,noise,L3 duplicate high,30,90,duplicate,high,3,0.8258998807246017,0.0,0.8058726088096501,2.9322629495555903e-07,-0.020027271914951683,2.9322629495555903e-07,0.9807291666666668,1.1102230246251565e-16,0.9783854166666665,1.1102230246251565e-16,-0.002343750000000089,0.0,-0.032330055487169496,2.8938084328789745e-07,-0.06666666666666665,0.0,4,"{""4"": 3}"
random_low,coding,noise,L3 random low,30,45,random,low,3,0.5300539835751102,0.0,0.50663884889237,0.00032180767074710073,-0.023415134682740184,0.00032180767074710073,0.62375,0.0,0.4872916666666667,0.0011785113019776327,-0.13645833333333338,0.0011785113019776327,-0.04861909087261198,0.00047352378920105303,0.13333333333333333,0.018856180831641284,4,"{""4"": 3}"
random_low,math,noise,L3 random low,30,45,random,low,3,0.9575045708169269,0.0,0.8975743106302062,1.1102230246251565e-16,-0.05993026018672054,0.0,0.9972527472527473,0.0,0.9972527472527473,0.0,0.0,0.0,-0.043095116324013416,0.0,-0.0357142857142857,0.0,24,"{""24"": 3}"
random_low,science,noise,L3 random low,30,45,random,low,3,0.8287124525361533,0.0,0.8048819093297251,1.5354828016544825e-07,-0.023830543206428228,1.5354828016544827e-07,0.9817708333333334,1.1102230246251565e-16,0.9731770833333333,0.0,-0.008593749999999956,0.0,-0.02740679714968619,0.0,0.0,0.0,24,"{""24"": 3}"
random_med,coding,noise,L3 random med,30,60,random,med,3,0.5471004738610372,0.0,0.5067019052934547,0.0002729619930743837,-0.04039856856758254,0.00027296199307438374,0.65125,0.0,0.48374999999999996,0.0022243913025065173,-0.16749999999999998,0.0022243913025065173,-0.061970371829526805,0.0003435940409219754,0.0,0.03265986323710907,4,"{""4"": 3}"
random_med,math,noise,L3 random med,30,60,random,med,3,0.9584072061290315,0.0,0.7846638076193707,0.0013597094842394376,-0.17374339850966078,0.0013597094842394376,0.9989010989010989,0.0,0.9622710622710623,0.0011290135536573176,-0.03663003663003661,0.0011290135536573176,-0.17549010528032097,0.0014123407641447889,0.0595238095238095,0.016835875742536838,24,"{""24"": 3}"
random_med,science,noise,L3 random med,30,60,random,med,3,0.8261846063043278,0.0,0.7989653545171794,9.844425317989737e-05,-0.027219251787148457,9.844425317989737e-05,0.978125,0.0,0.9750868055555556,0.0002455231879119817,-0.003038194444444494,0.0002455231879119817,-0.028926016439639435,0.00019724334945451252,0.011111111111111219,0.01571348402636772,16,"{""16"": 2, ""24"": 1}"
random_high,coding,noise,L3 random high,30,90,random,high,3,0.5242622791918566,0.0,0.5058567410680087,0.000807465529519469,-0.01840553812384797,0.0008074655295194689,0.590625,0.0,0.47541666666666665,0.0007795119555778829,-0.11520833333333329,0.0007795119555778829,-0.03176687683729942,0.002299810801278697,0.0,0.0,4,"{""4"": 3}"
random_high,math,noise,L3 random high,30,90,random,high,3,0.9560634709752355,1.1102230246251565e-16,0.7778521711541243,0.0022683537577707527,-0.17821129982111103,0.0022683537577707527,0.9972527472527473,0.0,0.9615384615384616,0.0004486244950152325,-0.0357142857142857,0.0004486244950152325,-0.17208828581945698,0.0021187922652213254,0.0,0.0,24,"{""16"": 1, ""24"": 2}"
random_high,science,noise,L3 random high,30,90,random,high,3,0.8220164464381569,1.1102230246251565e-16,0.8060485381365039,0.00034535303460757826,-0.015967908301652994,0.00034535303460757826,0.9765625,0.0,0.978298611111111,0.0006495932963149824,0.0017361111111110865,0.0006495932963149824,-0.029584347770761354,0.00046980353908668634,0.005555555555555684,0.028327886186626582,24,"{""16"": 1, ""24"": 2}"
trajectory_only,macro,canonical,L1 trajectory-only,5,5,,,3,0.753920029757453,0.0,0.7286141231254172,0.0,-0.02530590663203595,0.0,0.8320165598290599,0.0,0.817822992979243,0.0,-0.014193566849816874,0.0,-0.054379870501611784,0.0,-0.004444444444444436,0.0,7,"{""7"": 3}"
uncertainty_only,macro,canonical,L1 uncertainty-only,7,7,,,3,0.6749511887217619,0.0,0.6780125143879113,0.0,0.0030613256661496022,0.0,0.7586858974358974,0.0,0.7614739774114773,0.0,0.002788079975579912,0.0,-0.009856586254174404,0.0,0.005555555555555536,0.0,8,"{""8"": 3}"
token_only,macro,canonical,L1 token-only,11,11,,,3,0.6724436593093929,0.0,0.7020924087717396,0.0,0.029648749462346802,0.0,0.7482968940781441,0.0,0.7950621947496948,0.0,0.04676530067155064,0.0,0.014941331301500846,0.0,-0.013333333333333308,0.0,8,"{""8"": 3}"
token_plus_trajectory,macro,canonical,L1 token + trajectory,16,16,,,3,0.7573474336792749,0.0,0.7615176715924784,0.0,0.004170237913203516,0.0,0.8236944826007327,0.0,0.821732677045177,0.0,-0.001961805555555566,0.0,-0.0158215686262179,0.0,-0.026666666666666655,0.0,17,"{""17"": 3}"
canonical_22,macro,canonical,L1 canonical 22,22,22,,,3,0.7573700491652139,0.0,0.760483842815595,1.5183870619833685e-07,0.003113793650381083,1.518387061807551e-07,0.8191710546398046,0.0,0.8199713827838827,0.0,0.0008003281440780996,0.0,-0.021054144160838856,0.0,-0.038571428571428555,0.0,17,"{""17"": 3}"
canonical_plus_neuron_adjacent,macro,expansion,L2 canonical + neuron-adjacent,25,25,,,3,0.7756569562561757,0.0,0.7698441232843699,0.0,-0.0058128329718059035,0.0,0.8867422161172162,0.0,0.8824444826007326,0.0,-0.004297733516483475,0.0,-0.02292658273374648,0.0,-0.01746031746031751,0.0,21,"{""21"": 3}"
canonical_plus_prefix_tail,macro,expansion,L2 canonical + prefix-tail,28,28,,,3,0.7761182343275808,0.0,0.7698283876439698,0.0,-0.006289846683611026,0.0,0.8863255494505493,0.0,0.8822361492673992,0.0,-0.004089400183150145,0.0,-0.02291800655972191,0.0,-0.01746031746031751,0.0,21,"{""21"": 3}"
canonical_plus_event_local,macro,expansion,L2 canonical + event-local,30,30,,,3,0.7756241299068268,0.0,0.7698292010564582,0.0,-0.005794928850368697,0.0,0.8875755494505494,0.0,0.8822361492673992,0.0,-0.0053394001831501186,0.0,-0.022815421286124054,0.0,-0.01746031746031751,0.0,21,"{""21"": 3}"
perm_low,macro,noise,L3 permutation low,30,45,permutation,low,3,0.7788807304786216,0.0,0.750024933739838,1.1130430726580696e-05,-0.028855796738783534,1.1130430726556232e-05,0.8931658272283273,0.0,0.8103880494505494,0.00017010345436001484,-0.08277777777777784,0.00017010345435993553,-0.054600652246290626,8.958410440250712e-06,0.07222222222222223,0.0,11,"{""11"": 3}"
perm_med,macro,noise,L3 permutation med,30,60,permutation,med,3,0.7810438235484299,0.0,0.75150763064556,1.8598375519069643e-06,-0.02953619290286987,1.8598375518638005e-06,0.8958377213064713,0.0,0.8276198107448107,0.00019641855032962724,-0.06821791056166059,0.00019641855032958796,-0.05394859916463713,5.594261324816302e-06,0.024126984126984146,0.0,11,"{""11"": 3}"
perm_high,macro,noise,L3 permutation high,30,90,permutation,high,3,0.785202942325239,0.0,0.7536427807849188,0.0001138507306909719,-0.03156016154032016,0.00011385073069097206,0.8982795329670331,0.0,0.8204040114977617,0.00039044033887843967,-0.07787552146927143,0.00039044033887847176,-0.04486503106731301,0.00011143987165775212,-0.012539682539682498,0.0,12,"{""12"": 3}"
duplicate_low,macro,noise,L3 duplicate low,30,45,duplicate,low,3,0.7754829817183735,0.0,0.7555460547237152,2.738487750758362e-05,-0.01993692699465832,2.7384877507558693e-05,0.8830095772283273,0.0,0.8586866605616605,0.0,-0.024322916666666677,0.0,-0.01707212821759743,1.5116984285276022e-05,-0.013333333333333327,0.0,21,"{""21"": 3}"
duplicate_med,macro,noise,L3 duplicate med,30,60,duplicate,med,3,0.7773934614360739,0.0,0.7484562709536339,2.4062924757498063e-06,-0.02893719048243996,2.4062924756723676e-06,0.8661771214896214,0.0,0.8184514270451771,9.820927516486596e-05,-0.047725694444444355,9.820927516478745e-05,-0.04669547255218351,4.11269676006525e-06,-0.05857142857142857,0.0,11,"{""11"": 3}"
duplicate_high,macro,noise,L3 duplicate high,30,90,duplicate,high,3,0.7726037028052315,0.0,0.744693802151633,0.00015829008278945547,-0.027909900653598455,0.00015829008278947165,0.869068605006105,0.0,0.8179210546398045,0.0,-0.0511475503663004,0.0,-0.04328329679324829,0.00013536730857001132,-0.008888888888888872,0.0,11,"{""11"": 3}"
random_low,macro,noise,L3 random low,30,45,random,low,3,0.7720903356427301,0.0,0.7363650229507672,0.00010729119688252194,-0.03572531269196299,0.00010729119688251173,0.8675911935286935,0.0,0.8192404990842492,0.00039283710065920216,-0.048350694444444446,0.00039283710065920866,-0.03970700144877053,0.00015784126306701783,0.03253968253968255,0.006285393610547095,17,"{""17"": 3}"
random_med,macro,noise,L3 random med,30,60,random,med,3,0.7772307620981321,0.0,0.6967770224766682,0.00044513208110105555,-0.08045373962146392,0.0004451320811010364,0.876092032967033,0.0,0.8070359559422059,0.0003503559515272376,-0.06905607702482704,0.00035035595152720366,-0.08879549784982908,0.00045119344612394845,0.023544973544973574,0.010564270844792157,15,"{""15"": 2, ""17"": 1}"
random_high,macro,noise,L3 random high,30,90,random,high,3,0.7674473988684163,0.0,0.6965858167862122,0.0006439249980446886,-0.070861582082204,0.0006439249980447157,0.8548134157509159,0.0,0.8050845797720799,0.00028028165150921,-0.04972883597883596,0.00028028165150925606,-0.07781317014250592,0.0014075972666094596,0.001851851851851895,0.009442628728875527,17,"{""12"": 1, ""17"": 2}"
