method_id,domain,anchor_pct,target_level,target_policy,n_cases,mean_target_contribution,mean_score_drop,median_score_drop,mean_margin_drop,selection_flip_rate,correct_to_wrong_rate,wrong_to_correct_rate,mean_accuracy_delta,score_drop_ratio_vs_low,score_drop_ratio_vs_random,flip_rate_ratio_vs_low
es_svd_ms_rr_r1,science,40,family,top,396,1.1712683245435103,1.161934326167418,1.123110147893862,1.1611128489697127,1.0,0.11244979919678715,0.17687074829931973,-0.005050505050505051,20.160629285105607,4.261980136332693,1.370242214532872
es_svd_ms_rr_r1,science,70,family,low,396,0.020418180102228498,0.044174127007317036,0.027250239021443745,0.04457697962789876,0.6338383838383839,0.04878048780487805,0.10666666666666667,0.010101010101010102,nan,nan,nan
es_svd_ms_rr_r1,science,70,family,random,396,0.17973150017610057,0.23248069985678957,0.2436140306391021,0.23226438522306728,0.9368686868686869,0.06097560975609756,0.16666666666666666,0.025252525252525252,nan,nan,nan
es_svd_ms_rr_r1,science,70,family,top,396,1.5700023385287745,1.570002338528774,1.5330872849701525,1.569212435204522,1.0,0.07723577235772358,0.18,0.020202020202020204,35.54121937188974,6.753258827489383,1.5776892430278884
es_svd_ms_rr_r1,science,100,family,low,396,0.05780187560802925,0.14862808943143827,0.07188075073512024,0.15031216335289707,0.42424242424242425,0.0546875,0.07142857142857142,-0.010101010101010102,nan,nan,nan
es_svd_ms_rr_r1,science,100,family,random,396,6.538854800442847,6.719447845093974,6.599604421844161,6.71360498798762,1.0,0.1015625,0.14285714285714285,-0.015151515151515152,nan,nan,nan
es_svd_ms_rr_r1,science,100,family,top,396,11.158672886198021,10.946336787699702,10.919757542927666,10.943677980778785,1.0,0.1015625,0.14285714285714285,-0.015151515151515152,73.64917916642679,1.6290530174576587,2.357142857142857
es_svd_ms_rr_r1,science,10,feature,low,396,6.776814173921239e-05,0.0002132829412123733,0.00015977987520682246,0.00020863201705617772,0.20202020202020202,0.048,0.0547945205479452,-0.010101010101010102,nan,nan,nan
es_svd_ms_rr_r1,science,10,feature,random,396,0.0006016254640122226,0.0011779734036747541,0.0026197696540595783,0.0011782224595311827,0.5883838383838383,0.1,0.1232876712328767,-0.017676767676767676,nan,nan,nan
es_svd_ms_rr_r1,science,10,feature,top,396,0.03618157706527651,0.03618157706527651,0.036216487562512695,0.0361755178668585,1.0,0.16,0.1780821917808219,-0.03535353535353535,169.64121396492394,30.71510524126101,4.95
es_svd_ms_rr_r1,science,40,feature,low,396,0.0020393281589606987,0.0033149871024319914,0.0025623381695078495,0.0032846637588935137,0.1919191919191919,0.01606425702811245,0.061224489795918366,0.012626262626262626,nan,nan,nan
es_svd_ms_rr_r1,science,40,feature,random,396,-0.020955973853434513,-0.010199071189952131,-0.03657145990637253,-0.01009361333916692,0.3409090909090909,0.03614457831325301,0.04081632653061224,-0.007575757575757576,nan,nan,nan
es_svd_ms_rr_r1,science,40,feature,top,396,0.5921094988822736,0.5921094988822736,0.5743640436445991,0.5916006018189632,1.0,0.11244979919678715,0.1836734693877551,-0.0025252525252525255,178.61592838411985,-58.05523736961509,5.210526315789474
es_svd_ms_rr_r1,science,70,feature,low,396,0.0025551585895421465,0.003197820065153814,0.003205910473111029,0.003199839977416184,0.1893939393939394,0.012195121951219513,0.013333333333333334,-0.0025252525252525255,nan,nan,nan
es_svd_ms_rr_r1,science,70,feature,random,396,0.008896264622856948,0.031813020638356414,0.03838283342505029,0.0318672092364865,0.6767676767676768,0.044715447154471545,0.12,0.017676767676767676,nan,nan,nan
es_svd_ms_rr_r1,science,70,feature,top,396,0.8045283004376101,0.8045283004376101,0.7818808539162081,0.8041180750729098,1.0,0.07723577235772358,0.18666666666666668,0.022727272727272728,251.5864820552099,25.289277292568823,5.28
es_svd_ms_rr_r1,science,100,feature,low,396,0.009899662697071866,0.010852271006615049,0.01021834201626709,0.011090229350607472,0.08333333333333333,0.015625,0.014285714285714285,-0.005050505050505051,nan,nan,nan
es_svd_ms_rr_r1,science,100,feature,random,396,-0.22166558915083567,-0.14089675138863703,-0.21503865688296253,-0.14065085308995368,0.09090909090909091,0.0,0.014285714285714285,0.005050505050505051,nan,nan,nan
es_svd_ms_rr_r1,science,100,feature,top,396,6.191329579506109,6.19132957950611,6.118306088517511,6.186315339496422,1.0,0.1015625,0.14285714285714285,-0.015151515151515152,570.5100412376505,-43.94231604693638,12.0
es_svd_science_rr_r1,science,10,family,low,396,0.0007683599225883171,0.003893826578432123,0.001744796237258206,0.003911143364467668,0.6893939393939394,0.1,0.13013698630136986,-0.015151515151515152,nan,nan,nan
es_svd_science_rr_r1,science,10,family,random,396,0.0038711146650278593,0.012350309984396443,0.01417590901872709,0.012333010731996738,0.946969696969697,0.14,0.17123287671232876,-0.025252525252525252,nan,nan,nan
es_svd_science_rr_r1,science,10,family,top,396,0.08139819888897515,0.07742445990671691,0.07569824713049284,0.0773871506604572,1.0,0.16,0.1780821917808219,-0.03535353535353535,19.88390041189056,6.269029684642415,1.4505494505494505
es_svd_science_rr_r1,science,40,family,low,396,0.024804311563992907,0.057633832244801945,0.03710972521356237,0.05805412377430982,0.7297979797979798,0.08433734939759036,0.14285714285714285,0.0,nan,nan,nan
es_svd_science_rr_r1,science,40,family,random,396,0.1890654837715891,0.2726278135982182,0.2833503456255192,0.272129849389833,0.9646464646464646,0.11646586345381527,0.17006802721088435,-0.010101010101010102,nan,nan,nan
es_svd_science_rr_r1,science,40,family,top,396,1.1712683245435103,1.161934326167418,1.123110147893862,1.1611128489697127,1.0,0.11244979919678715,0.17687074829931973,-0.005050505050505051,20.160629285105607,4.261980136332693,1.370242214532872
es_svd_science_rr_r1,science,70,family,low,396,0.020418180102228498,0.044174127007317036,0.027250239021443745,0.04457697962789876,0.6338383838383839,0.04878048780487805,0.10666666666666667,0.010101010101010102,nan,nan,nan
es_svd_science_rr_r1,science,70,family,random,396,0.17973150017610057,0.23248069985678957,0.2436140306391021,0.23226438522306728,0.9368686868686869,0.06097560975609756,0.16666666666666666,0.025252525252525252,nan,nan,nan
es_svd_science_rr_r1,science,70,family,top,396,1.5700023385287745,1.570002338528774,1.5330872849701525,1.569212435204522,1.0,0.07723577235772358,0.18,0.020202020202020204,35.54121937188974,6.753258827489383,1.5776892430278884
es_svd_science_rr_r1,science,100,family,low,396,0.05780187560802925,0.14862808943143827,0.07188075073512024,0.15031216335289707,0.42424242424242425,0.0546875,0.07142857142857142,-0.010101010101010102,nan,nan,nan
es_svd_science_rr_r1,science,100,family,random,396,6.538854800442847,6.719447845093974,6.599604421844161,6.71360498798762,1.0,0.1015625,0.14285714285714285,-0.015151515151515152,nan,nan,nan
es_svd_science_rr_r1,science,100,family,top,396,11.158672886198021,10.946336787699702,10.919757542927666,10.943677980778785,1.0,0.1015625,0.14285714285714285,-0.015151515151515152,73.64917916642679,1.6290530174576587,2.357142857142857
es_svd_science_rr_r1,science,10,feature,low,396,6.776814173921239e-05,0.0002132829412123733,0.00015977987520682246,0.00020863201705617772,0.20202020202020202,0.048,0.0547945205479452,-0.010101010101010102,nan,nan,nan
es_svd_science_rr_r1,science,10,feature,random,396,0.0006016254640122226,0.0011779734036747541,0.0026197696540595783,0.0011782224595311827,0.5883838383838383,0.1,0.1232876712328767,-0.017676767676767676,nan,nan,nan
es_svd_science_rr_r1,science,10,feature,top,396,0.03618157706527651,0.03618157706527651,0.036216487562512695,0.0361755178668585,1.0,0.16,0.1780821917808219,-0.03535353535353535,169.64121396492394,30.71510524126101,4.95
es_svd_science_rr_r1,science,40,feature,low,396,0.0020393281589606987,0.0033149871024319914,0.0025623381695078495,0.0032846637588935137,0.1919191919191919,0.01606425702811245,0.061224489795918366,0.012626262626262626,nan,nan,nan
es_svd_science_rr_r1,science,40,feature,random,396,-0.020955973853434513,-0.010199071189952131,-0.03657145990637253,-0.01009361333916692,0.3409090909090909,0.03614457831325301,0.04081632653061224,-0.007575757575757576,nan,nan,nan
es_svd_science_rr_r1,science,40,feature,top,396,0.5921094988822736,0.5921094988822736,0.5743640436445991,0.5916006018189632,1.0,0.11244979919678715,0.1836734693877551,-0.0025252525252525255,178.61592838411985,-58.05523736961509,5.210526315789474
es_svd_science_rr_r1,science,70,feature,low,396,0.0025551585895421465,0.003197820065153814,0.003205910473111029,0.003199839977416184,0.1893939393939394,0.012195121951219513,0.013333333333333334,-0.0025252525252525255,nan,nan,nan
es_svd_science_rr_r1,science,70,feature,random,396,0.008896264622856948,0.031813020638356414,0.03838283342505029,0.0318672092364865,0.6767676767676768,0.044715447154471545,0.12,0.017676767676767676,nan,nan,nan
es_svd_science_rr_r1,science,70,feature,top,396,0.8045283004376101,0.8045283004376101,0.7818808539162081,0.8041180750729098,1.0,0.07723577235772358,0.18666666666666668,0.022727272727272728,251.5864820552099,25.289277292568823,5.28
es_svd_science_rr_r1,science,100,feature,low,396,0.009899662697071866,0.010852271006615049,0.01021834201626709,0.011090229350607472,0.08333333333333333,0.015625,0.014285714285714285,-0.005050505050505051,nan,nan,nan
es_svd_science_rr_r1,science,100,feature,random,396,-0.22166558915083567,-0.14089675138863703,-0.21503865688296253,-0.14065085308995368,0.09090909090909091,0.0,0.014285714285714285,0.005050505050505051,nan,nan,nan
es_svd_science_rr_r1,science,100,feature,top,396,6.191329579506109,6.19132957950611,6.118306088517511,6.186315339496422,1.0,0.1015625,0.14285714285714285,-0.015151515151515152,570.5100412376505,-43.94231604693638,12.0
