condition_id,domain,layer,condition_label,base_feature_count,feature_count,decoy_family,decoy_level,n_seeds,no_svd_auc_of_auroc_mean,no_svd_auc_of_auroc_std,best_svd_auc_of_auroc_mean,best_svd_auc_of_auroc_std,delta_auc_of_auroc_mean,delta_auc_of_auroc_std,no_svd_auc_of_selacc_mean,no_svd_auc_of_selacc_std,best_svd_auc_of_selacc_mean,best_svd_auc_of_selacc_std,delta_auc_of_selacc_mean,delta_auc_of_selacc_std,delta_auroc_at_100_mean,delta_auroc_at_100_std,delta_stop_acc_at_100_mean,delta_stop_acc_at_100_std,best_svd_rank_mode,best_svd_rank_hist
random_high,science,noise,L3 random high,30,90,random,high,3,0.8220164464381569,1.1102230246251565e-16,0.8060485381365039,0.00034535303460757826,-0.015967908301652994,0.00034535303460757826,0.9765625,0.0,0.978298611111111,0.0006495932963149824,0.0017361111111110865,0.0006495932963149824,-0.029584347770761354,0.00046980353908668634,0.005555555555555684,0.028327886186626582,24,"{""16"": 1, ""24"": 2}"
perm_low,macro,noise,L3 permutation low,30,45,permutation,low,3,0.7788807304786216,0.0,0.750024933739838,1.1130430726580696e-05,-0.028855796738783534,1.1130430726556232e-05,0.8931658272283273,0.0,0.8103880494505494,0.00017010345436001484,-0.08277777777777784,0.00017010345435993553,-0.054600652246290626,8.958410440250712e-06,0.07222222222222223,0.0,11,"{""11"": 3}"
perm_med,macro,noise,L3 permutation med,30,60,permutation,med,3,0.7810438235484299,0.0,0.75150763064556,1.8598375519069643e-06,-0.02953619290286987,1.8598375518638005e-06,0.8958377213064713,0.0,0.8276198107448107,0.00019641855032962724,-0.06821791056166059,0.00019641855032958796,-0.05394859916463713,5.594261324816302e-06,0.024126984126984146,0.0,11,"{""11"": 3}"
perm_high,macro,noise,L3 permutation high,30,90,permutation,high,3,0.785202942325239,0.0,0.7536427807849188,0.0001138507306909719,-0.03156016154032016,0.00011385073069097206,0.8982795329670331,0.0,0.8204040114977617,0.00039044033887843967,-0.07787552146927143,0.00039044033887847176,-0.04486503106731301,0.00011143987165775212,-0.012539682539682498,0.0,12,"{""12"": 3}"
duplicate_low,macro,noise,L3 duplicate low,30,45,duplicate,low,3,0.7754829817183735,0.0,0.7555460547237152,2.738487750758362e-05,-0.01993692699465832,2.7384877507558693e-05,0.8830095772283273,0.0,0.8586866605616605,0.0,-0.024322916666666677,0.0,-0.01707212821759743,1.5116984285276022e-05,-0.013333333333333327,0.0,21,"{""21"": 3}"
duplicate_med,macro,noise,L3 duplicate med,30,60,duplicate,med,3,0.7773934614360739,0.0,0.7484562709536339,2.4062924757498063e-06,-0.02893719048243996,2.4062924756723676e-06,0.8661771214896214,0.0,0.8184514270451771,9.820927516486596e-05,-0.047725694444444355,9.820927516478745e-05,-0.04669547255218351,4.11269676006525e-06,-0.05857142857142857,0.0,11,"{""11"": 3}"
duplicate_high,macro,noise,L3 duplicate high,30,90,duplicate,high,3,0.7726037028052315,0.0,0.744693802151633,0.00015829008278945547,-0.027909900653598455,0.00015829008278947165,0.869068605006105,0.0,0.8179210546398045,0.0,-0.0511475503663004,0.0,-0.04328329679324829,0.00013536730857001132,-0.008888888888888872,0.0,11,"{""11"": 3}"
random_low,macro,noise,L3 random low,30,45,random,low,3,0.7720903356427301,0.0,0.7363650229507672,0.00010729119688252194,-0.03572531269196299,0.00010729119688251173,0.8675911935286935,0.0,0.8192404990842492,0.00039283710065920216,-0.048350694444444446,0.00039283710065920866,-0.03970700144877053,0.00015784126306701783,0.03253968253968255,0.006285393610547095,17,"{""17"": 3}"
random_med,macro,noise,L3 random med,30,60,random,med,3,0.7772307620981321,0.0,0.6967770224766682,0.00044513208110105555,-0.08045373962146392,0.0004451320811010364,0.876092032967033,0.0,0.8070359559422059,0.0003503559515272376,-0.06905607702482704,0.00035035595152720366,-0.08879549784982908,0.00045119344612394845,0.023544973544973574,0.010564270844792157,15,"{""15"": 2, ""17"": 1}"
random_high,macro,noise,L3 random high,30,90,random,high,3,0.7674473988684163,0.0,0.6965858167862122,0.0006439249980446886,-0.070861582082204,0.0006439249980447157,0.8548134157509159,0.0,0.8050845797720799,0.00028028165150921,-0.04972883597883596,0.00028028165150925606,-0.07781317014250592,0.0014075972666094596,0.001851851851851895,0.009442628728875527,17,"{""12"": 1, ""17"": 2}"
