condition_id,domain,seed,model_name,model_kind,rank,feature_count,representation_dim,auc_of_auroc,auc_of_selacc,auroc_at_100,stop_acc_at_100,earliest_gt_0_6,num_caches,samples,mean_anchor_cv_auroc,trained_anchor_count,fallback_anchor_count,inference_time_sec,layer,condition_label,description,base_feature_count,decoy_family,decoy_level
uncertainty_only,science,43,svd_r4,svd,4,7,14,0.790708483683817,0.9710937500000001,0.8128620360727019,0.7166666666666666,0.1,2,3840,0.637246921618209,4,0,0.14404120296239853,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,science,43,svd_r8,svd,8,7,14,0.7907502019709616,0.9567708333333331,0.8297489318406568,0.7166666666666666,0.1,2,3840,0.6543659951651937,4,0,0.1463184228632599,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,science,43,svd_r12,svd,12,7,14,0.7857985222329721,0.9549479166666667,0.8310873619081001,0.7,0.1,2,3840,0.6560826225252515,4,0,0.14560367981903255,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,science,44,no_svd,no_svd,,7,14,0.7910506106767559,0.959375,0.8328213225474953,0.7,0.1,2,3840,0.6534067989004485,4,0,0.12334676505997777,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,science,44,svd_r4,svd,4,7,14,0.790708483683817,0.9710937500000001,0.8128620360727019,0.7166666666666666,0.1,2,3840,0.637246921618209,4,0,0.14334149402566254,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,science,44,svd_r8,svd,8,7,14,0.7907502019709616,0.9567708333333331,0.8297489318406568,0.7166666666666666,0.1,2,3840,0.6543659951651937,4,0,0.1462554009631276,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,science,44,svd_r12,svd,12,7,14,0.7857985222329721,0.9549479166666667,0.8310873619081001,0.7,0.1,2,3840,0.6560826225252515,4,0,0.1456632639747113,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,coding,42,no_svd,no_svd,,7,14,0.4864210906464427,0.374375,0.47429409401240386,0.56,,1,1600,0.5150442905019955,4,0,0.05529612093232572,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,coding,42,svd_r4,svd,4,7,14,0.47748636340185635,0.37,0.46866904613383487,0.56,,1,1600,0.5082243358090477,4,0,0.061573884915560484,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,coding,42,svd_r8,svd,8,7,14,0.48721481960918583,0.37875000000000003,0.4751586441727287,0.56,,1,1600,0.514788655100486,4,0,0.06018646992743015,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,coding,42,svd_r12,svd,12,7,14,0.48711038570193493,0.375625,0.47430660106716444,0.56,,1,1600,0.5151671661444495,4,0,0.05984335392713547,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,coding,43,no_svd,no_svd,,7,14,0.4864210906464427,0.374375,0.47429409401240386,0.56,,1,1600,0.5150442905019955,4,0,0.051966937026008964,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,coding,43,svd_r4,svd,4,7,14,0.47748636340185635,0.37,0.46866904613383487,0.56,,1,1600,0.5082243358090477,4,0,0.0705340402200818,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,coding,43,svd_r8,svd,8,7,14,0.48721481960918583,0.37875000000000003,0.4751586441727287,0.56,,1,1600,0.514788655100486,4,0,0.09713741997256875,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,coding,43,svd_r12,svd,12,7,14,0.48711038570193493,0.375625,0.47430660106716444,0.56,,1,1600,0.5151671661444495,4,0,0.09978465805761516,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,coding,44,no_svd,no_svd,,7,14,0.4864210906464427,0.374375,0.47429409401240386,0.56,,1,1600,0.5150442905019955,4,0,0.053130276035517454,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,coding,44,svd_r4,svd,4,7,14,0.47748636340185635,0.37,0.46866904613383487,0.56,,1,1600,0.5082243358090477,4,0,0.06126366998068988,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,coding,44,svd_r8,svd,8,7,14,0.48721481960918583,0.37875000000000003,0.4751586441727287,0.56,,1,1600,0.514788655100486,4,0,0.06033493112772703,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
uncertainty_only,coding,44,svd_r12,svd,12,7,14,0.48711038570193493,0.375625,0.47430660106716444,0.56,,1,1600,0.5151671661444495,4,0,0.062025848077610135,canonical,L1 uncertainty-only,"Token uncertainty proxies: gini, neg-entropy, self-certainty.",7,,
token_only,math,42,no_svd,no_svd,,11,22,0.7731132780634279,0.948901098901099,0.9140118830422196,0.7142857142857143,0.1,7,1792,0.8014485390190864,4,0,0.09840754210017622,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,math,42,svd_r4,svd,4,11,22,0.6876750508467159,0.9346153846153846,0.7066201041470367,0.6785714285714286,0.1,7,1792,0.6811352260123511,4,0,0.10627889004535973,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,math,42,svd_r8,svd,8,11,22,0.7828832910820838,0.9675824175824177,0.9221884095904501,0.7142857142857143,0.1,7,1792,0.7924681918604509,4,0,0.1039075548760593,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,math,42,svd_r12,svd,12,11,22,0.7711202152242665,0.9472527472527473,0.9176846259880437,0.7142857142857143,0.1,7,1792,0.8022211508815534,4,0,0.10405029519461095,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,math,42,svd_r16,svd,16,11,22,0.7711981077011387,0.9494505494505495,0.9116975368653905,0.7142857142857143,0.1,7,1792,0.8011272726209754,4,0,0.10319079388864338,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
token_only,math,43,no_svd,no_svd,,11,22,0.7731132780634279,0.948901098901099,0.9140118830422196,0.7142857142857143,0.1,7,1792,0.8014485390190864,4,0,0.09459593496285379,canonical,L1 token-only,"All 11 token-level features, no trajectory, no availability flags.",11,,
