experiment_type,route_label,method_id,anchor_pct,rank_spec,n_problem_slices,n_samples,base_auroc,base_selacc_10,mean_abs_share_top1_k1,mean_abs_share_top1_k2,mean_abs_share_top1_k4,policy,k,intervened_auroc,intervened_auroc_std,intervened_selacc_10,intervened_selacc_10_std,auroc_drop,auroc_drop_std,selacc_drop,selacc_drop_std,mean_top1_score_drop,mean_top1_score_drop_std,median_top1_score_drop,median_top1_score_drop_std,mean_removed_abs_share_top1,mean_removed_abs_share_top1_std,mean_removed_abs_contribution_top1,mean_removed_abs_contribution_top1_std,top1_flip_rate,top1_flip_rate_std,decision_flip_rate,decision_flip_rate_std,n_repeats,subset_kind,epsilon,n_selected,monotonic_fraction,mean_score_delta,median_score_delta
perturbation,ms,es_svd_ms_rr_r1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive_contribution_axis,-0.1,88,1.0,-0.06760387094469174,-0.037976880571064076
perturbation,ms,es_svd_ms_rr_r1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive_contribution_axis,0.0,88,1.0,1.829344756484633e-16,0.0
perturbation,ms,es_svd_ms_rr_r1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive_contribution_axis,0.1,88,1.0,0.067603870944692,0.037976880571064076
perturbation,ms,es_svd_ms_rr_r1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive_contribution_axis,0.2,88,1.0,0.13520774188938448,0.07595376114212815
perturbation,ms,es_svd_ms_rr_r1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative_contribution_axis,-0.2,88,1.0,-0.1511574825697073,-0.12236070629459439
perturbation,ms,es_svd_ms_rr_r1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative_contribution_axis,-0.1,88,1.0,-0.07557874128485392,-0.061180353147296085
perturbation,ms,es_svd_ms_rr_r1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative_contribution_axis,0.0,88,1.0,1.829344756484633e-16,0.0
perturbation,ms,es_svd_ms_rr_r1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative_contribution_axis,0.1,88,1.0,0.07557874128485415,0.06118035314729653
perturbation,ms,es_svd_ms_rr_r1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative_contribution_axis,0.2,88,1.0,0.15115748256970754,0.12236070629459439
route_selection,coding,es_svd_coding_rr_r1,10,coding:16,25,1600,0.5530369474031446,0.55,0.26151835223320635,0.436858907167146,0.6661255687317429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
