condition,protocol,seed_or_iter,fold,is_degenerate,auroc
canonical_plus_nc,bootstrap,79,,False,0.5088
canonical_plus_nc,bootstrap,80,,False,0.4792
canonical_plus_nc,bootstrap,81,,False,0.5840
canonical_plus_nc,bootstrap,82,,False,0.5032
canonical_plus_nc,bootstrap,83,,False,0.4801
canonical_plus_nc,bootstrap,84,,False,0.5609
canonical_plus_nc,bootstrap,85,,False,0.5068
canonical_plus_nc,bootstrap,86,,False,0.5590
canonical_plus_nc,bootstrap,87,,False,0.5041
canonical_plus_nc,bootstrap,88,,False,0.4999
canonical_plus_nc,bootstrap,89,,False,0.4932
canonical_plus_nc,bootstrap,90,,False,0.4917
canonical_plus_nc,bootstrap,91,,False,0.5411
canonical_plus_nc,bootstrap,92,,False,0.5112
canonical_plus_nc,bootstrap,93,,False,0.5218
canonical_plus_nc,bootstrap,94,,False,0.4880
canonical_plus_nc,bootstrap,95,,False,0.4946
canonical_plus_nc,bootstrap,96,,False,0.4906
canonical_plus_nc,bootstrap,97,,False,0.5616
canonical_plus_nc,bootstrap,98,,False,0.4782
canonical_plus_nc,bootstrap,99,,False,0.5074
