layer,condition_id,condition_label,domain,model_name,model_kind,rank,feature_count,auc_of_auroc_mean,auc_of_auroc_std,auc_of_selacc_mean,auc_of_selacc_std,auroc_at_100_mean,auroc_at_100_std,stop_acc_at_100_mean,stop_acc_at_100_std,mean_anchor_cv_auroc_mean,mean_anchor_cv_auroc_std,inference_time_sec_mean,inference_time_sec_std,n_rows
noise,perm_low,L3 permutation low,coding,svd_r24,svd,24,45,0.45287633597492755,7.369852697612897e-08,0.36374999999999996,0.0,0.42684701839631417,0.0,0.48,0.0,0.5522553839961778,1.7987364181819318e-07,0.10223541338928044,6.921099220591275e-05,3
noise,perm_low,L3 permutation low,coding,svd_r4,svd,4,45,0.5115214988454425,3.33153210842484e-05,0.465625,0.0005103103630798179,0.496354454100933,2.696802213525583e-05,0.56,0.0,0.4818193677824468,0.0,0.10199938031534354,0.0019217536728255566,3
noise,perm_low,L3 permutation low,coding,svd_r8,svd,8,45,0.4529932769369389,5.295294293856941e-05,0.38395833333333335,0.0010622957319984996,0.445809797922474,0.0002209825475452132,0.4533333333333333,0.018856180831641256,0.547562495667563,1.8976060939812953e-08,0.10128797738191982,0.00010954742551460828,3
noise,perm_low,L3 permutation low,math,no_svd,no_svd,,45,0.9606587387652749,1.1102230246251565e-16,0.9983516483516484,0.0,0.9829553815223134,0.0,0.75,0.0,0.9490583651401175,0.0,0.13115063201015195,0.0019018376592741038,3
noise,perm_low,L3 permutation low,math,svd_r12,svd,12,45,0.9236251047871599,0.0011405970747968746,0.9968864468864469,0.0005180269459242089,0.9569849480444695,0.0007416948918251944,0.75,0.0,0.8834085700885682,1.1553437693728948e-08,0.14085875529175004,0.0013392287349615877,3
noise,perm_low,L3 permutation low,math,svd_r16,svd,16,45,0.9259668201592071,0.0001312160496900091,0.9948717948717949,0.0002590134729621044,0.9591400826377128,0.0005602254329907751,0.75,0.0,0.8866846732029715,1.1043140949340245e-08,0.14247642535095414,0.0016286230161065372,3
noise,perm_low,L3 permutation low,math,svd_r24,svd,24,45,0.9398721724015534,1.1505779300882799e-07,0.9983516483516484,0.0,0.9651389577911361,0.0,0.75,0.0,0.9025950466811534,3.8997888796219646e-08,0.14263780034768084,0.0022572701738275787,3
noise,perm_low,L3 permutation low,math,svd_r4,svd,4,45,0.8057838118421566,2.320550860622531e-05,0.9730769230769232,0.0004486244950152325,0.8795008980447513,5.5264399894644706e-05,0.7142857142857143,0.0,0.7690933944642201,0.0,0.14254403378193578,0.0016975350237646977,3
noise,perm_low,L3 permutation low,math,svd_r8,svd,8,45,0.9123120370583001,0.0003607583789633187,0.9930402930402931,0.0005180269459242089,0.9428708046259132,0.0012083240291985936,0.7619047619047619,0.016835875742536838,0.8672743371687655,1.9074581345195945e-08,0.14333367728007337,0.0028539930135490174,3
noise,perm_low,L3 permutation low,science,no_svd,no_svd,,45,0.8307219848739106,1.1102230246251565e-16,0.9817708333333334,1.1102230246251565e-16,0.8730655324819931,0.0,0.6833333333333332,1.1102230246251565e-16,0.7456606056730329,0.0,0.35262682971855003,0.08758425426505814,3
noise,perm_low,L3 permutation low,science,svd_r12,svd,12,45,0.7883267685603791,0.00013257596471509902,0.9796006944444443,0.0006835076279524787,0.8436232634788751,7.260973282177194e-05,0.6499999999999999,0.0,0.7117630755448828,3.7170742729846746e-08,0.24567672121338546,0.002980549360149501,3
noise,perm_low,L3 permutation low,science,svd_r16,svd,16,45,0.7892790379497979,4.922858581222206e-05,0.9788194444444445,0.0001227615939560432,0.8452322410441201,0.0004423444067779128,0.6888888888888888,0.02078698548207742,0.7139420165322825,7.863877514421212e-08,0.2489370989302794,0.005100066462805179,3
noise,perm_low,L3 permutation low,science,svd_r24,svd,24,45,0.7937822548143804,6.125451161044087e-08,0.9820312499999999,0.0,0.8448042263722065,6.06542100869471e-07,0.75,0.0,0.719529590716456,9.705530340828283e-08,0.24595581367611885,0.0019806064138712175,3
noise,perm_low,L3 permutation low,science,svd_r4,svd,4,45,0.7986811299725182,1.8447257811535407e-07,0.9671875,1.1102230246251565e-16,0.8224905878426334,8.041962635775462e-07,0.6999999999999998,1.1102230246251565e-16,0.6426404890206668,0.0,0.2473645246742914,0.00548231143263304,3
noise,perm_low,L3 permutation low,science,svd_r8,svd,8,45,0.7915023102542603,0.00024113255264655194,0.9737847222222221,0.00012276159395599085,0.8438600617355186,0.00029499402803952467,0.7055555555555554,0.007856742013183832,0.7051244293835744,8.601107718152919e-09,0.24714660931689045,0.004375684884507199,3
noise,perm_med,L3 permutation med,coding,no_svd,no_svd,,60,0.551212949804499,0.0,0.7150000000000002,1.1102230246251565e-16,0.5923341134608741,0.0,0.52,0.0,0.5690385487273837,0.0,0.16191065528740486,0.059024284356247105,3
noise,perm_med,L3 permutation med,coding,svd_r12,svd,12,60,0.45913163518797323,0.0003073451516984011,0.3804166666666666,0.0023011168785806754,0.44874322339111067,0.0020207254483125513,0.5066666666666667,0.018856180831641284,0.5470417301596214,5.1941822771075154e-08,0.12346601431878905,0.009952202133669553,3
noise,perm_med,L3 permutation med,coding,svd_r16,svd,16,60,0.4617202828470434,0.000362556867808237,0.39125000000000004,0.0028412878535387246,0.46015174184188273,0.0008349171424754931,0.5066666666666667,0.018856180831641284,0.547791465582527,5.282614185114877e-08,0.11709267133846879,0.0009242578239968624,3
noise,perm_med,L3 permutation med,coding,svd_r24,svd,24,60,0.46251307378067935,1.09063860164193e-06,0.40687500000000004,0.0,0.4600574178038967,1.9498797429891513e-06,0.52,0.0,0.5485945282398902,2.3292092763494876e-07,0.11917291635957857,0.0021139782489276214,3
noise,perm_med,L3 permutation med,coding,svd_r4,svd,4,60,0.5201432891573735,8.263113547857996e-06,0.5079166666666666,0.000589255650988777,0.5021363612912909,2.0423934898978644e-05,0.64,0.0,0.48453356613016624,1.7767877043321644e-08,0.11596875435983141,0.0019379355104702397,3
noise,perm_med,L3 permutation med,coding,svd_r8,svd,8,60,0.46272178525699653,0.0003273865176631055,0.3825,0.001839950180484973,0.4611340667678696,0.00039049580216463526,0.49333333333333335,0.018856180831641284,0.5475673330345618,6.520732814074614e-08,0.1174550426658243,0.0028422721435222074,3
noise,perm_med,L3 permutation med,math,no_svd,no_svd,,60,0.9600541879258015,0.0,0.9972527472527473,0.0,0.9831131556104381,0.0,0.75,0.0,0.9487013986833519,0.0,0.14800664604020616,0.0008878647201720296,3
noise,perm_med,L3 permutation med,math,svd_r12,svd,12,60,0.9163315908374048,0.0012793607215942557,0.9945054945054945,0.000897248990030465,0.943497040070186,0.002229466381306173,0.7738095238095237,0.016835875742536838,0.8716591530429199,2.183845675113586e-07,0.15975879536320767,0.002873926273968388,3
noise,perm_med,L3 permutation med,math,svd_r16,svd,16,60,0.9224586498968378,0.000655207620652591,0.9967032967032967,0.0004486244950152325,0.9541540768821472,0.0003217130264476782,0.7857142857142857,0.0,0.8813592089432204,1.4861304666025661e-07,0.16028726760608455,0.0027843825316483948,3
noise,perm_med,L3 permutation med,math,svd_r24,svd,24,60,0.9301678971356839,4.235930723979349e-06,0.9989010989010989,0.0,0.9573749235816148,4.782919245012096e-06,0.7857142857142857,0.0,0.8905707398911158,3.072175375810085e-07,0.16169126401655376,0.002904874168792881,3
noise,perm_med,L3 permutation med,math,svd_r4,svd,4,60,0.8091982695921804,0.00011188936883869084,0.9719780219780221,0.0,0.9046867730683988,9.896608767703173e-06,0.75,0.0,0.7730850277305924,1.1553437693728948e-08,0.15906011235589781,0.0018251372714927602,3
noise,perm_med,L3 permutation med,math,svd_r8,svd,8,60,0.9018244915284189,0.00038297999476697987,0.98992673992674,0.0006852852356728805,0.9401406259082702,0.00022610614378100412,0.75,0.0,0.8485444171556283,6.92502144628759e-08,0.15886578639037907,0.0016692111354147682,3
noise,perm_med,L3 permutation med,science,no_svd,no_svd,,60,0.8318643329149893,0.0,0.9752604166666665,0.0,0.8731550093540262,1.1102230246251565e-16,0.7166666666666665,1.1102230246251565e-16,0.7455752952261688,1.1102230246251565e-16,0.3388701300912847,0.09901040732489322,3
